Type	variable	Score	Step	Model
Llama8bV1_Stepwise_FineTuned_FPExamples_Step3	precision	0	Step3	Llama8bV1_FineTuned_FPExamples
Llama8bV1_Stepwise_FineTuned_NoExamples_Step3	precision	0	Step3	Llama8bV1_FineTuned_NoExamples
Llama8bV1_Stepwise_FineTuned_TPExamples_Step3	precision	0	Step3	Llama8bV1_FineTuned_TPExamples
Llama8bV1_Stepwise_Standard_AllExamples_Step3	precision	0	Step3	Llama8bV1_Standard_AllExamples
Llama8bV1_Stepwise_Standard_FPExamples_Step3	precision	0	Step3	Llama8bV1_Standard_FPExamples
Llama8bV1_Stepwise_Standard_NoExamples_Step3	precision	0.5	Step3	Llama8bV1_Standard_NoExamples
Llama8bV1_Stepwise_Standard_TPExamples_Step3	precision	0	Step3	Llama8bV1_Standard_TPExamples
Llama70bV3_Dynamic_FineTuned_NoExamples_Step1	recall	0.13953488372093	Step1	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Dynamic_Standard_NoExamples_Step1	recall	0.534883720930233	Step1	Llama70bV3_Standard_NoExamples
Llama70bV3_Lookup_FineTuned_NoExamples_Step1	recall	0.372093023255814	Step1	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Lookup_Standard_NoExamples_Step1	recall	0.186046511627907	Step1	Llama70bV3_Standard_NoExamples
Llama70bV3_Stepwise_FineTuned_AllExamples_Step1	recall	0.232558139534884	Step1	Llama70bV3_FineTuned_AllExamples
Llama70bV3_Stepwise_FineTuned_FPExamples_Step1	recall	0.441860465116279	Step1	Llama70bV3_FineTuned_FPExamples
Llama70bV3_Stepwise_FineTuned_NoExamples_Step1	recall	0.325581395348837	Step1	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Stepwise_FineTuned_TPExamples_Step1	recall	0.302325581395349	Step1	Llama70bV3_FineTuned_TPExamples
Llama70bV3_Stepwise_Standard_AllExamples_Step1	recall	0.604651162790698	Step1	Llama70bV3_Standard_AllExamples
Llama70bV3_Stepwise_Standard_FPExamples_Step1	recall	0.395348837209302	Step1	Llama70bV3_Standard_FPExamples
Llama70bV3_Stepwise_Standard_NoExamples_Step1	recall	0.511627906976744	Step1	Llama70bV3_Standard_NoExamples
Llama70bV3_Stepwise_Standard_TPExamples_Step1	recall	0.651162790697674	Step1	Llama70bV3_Standard_TPExamples
Llama8bV1_Dynamic_FineTuned_NoExamples_Step1	recall	0	Step1	Llama8bV1_FineTuned_NoExamples
Llama8bV1_Dynamic_Standard_NoExamples_Step1	recall	0.372093023255814	Step1	Llama8bV1_Standard_NoExamples
Llama8bV1_Lookup_FineTuned_NoExamples_Step1	recall	0.27906976744186	Step1	Llama8bV1_FineTuned_NoExamples
Llama8bV1_Lookup_Standard_NoExamples_Step1	recall	0.27906976744186	Step1	Llama8bV1_Standard_NoExamples
Llama8bV1_Stepwise_FineTuned_AllExamples_Step1	recall	0.27906976744186	Step1	Llama8bV1_FineTuned_AllExamples
Llama8bV1_Stepwise_FineTuned_FPExamples_Step1	recall	0.302325581395349	Step1	Llama8bV1_FineTuned_FPExamples
Llama8bV1_Stepwise_FineTuned_NoExamples_Step1	recall	0.395348837209302	Step1	Llama8bV1_FineTuned_NoExamples
Llama8bV1_Stepwise_FineTuned_TPExamples_Step1	recall	0.27906976744186	Step1	Llama8bV1_FineTuned_TPExamples
Llama8bV1_Stepwise_Standard_AllExamples_Step1	recall	0.232558139534884	Step1	Llama8bV1_Standard_AllExamples
Llama8bV1_Stepwise_Standard_FPExamples_Step1	recall	0.372093023255814	Step1	Llama8bV1_Standard_FPExamples
Llama8bV1_Stepwise_Standard_NoExamples_Step1	recall	0.255813953488372	Step1	Llama8bV1_Standard_NoExamples
Llama8bV1_Stepwise_Standard_TPExamples_Step1	recall	0.348837209302326	Step1	Llama8bV1_Standard_TPExamples
Llama70bV3_Dynamic_FineTuned_NoExamples_Step2	recall	0.0930232558139535	Step2	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Dynamic_Standard_NoExamples_Step2	recall	0.325581395348837	Step2	Llama70bV3_Standard_NoExamples
Llama70bV3_Lookup_FineTuned_NoExamples_Step2	recall	0	Step2	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Lookup_Standard_NoExamples_Step2	recall	0.116279069767442	Step2	Llama70bV3_Standard_NoExamples
Llama70bV3_Stepwise_FineTuned_AllExamples_Step2	recall	0.232558139534884	Step2	Llama70bV3_FineTuned_AllExamples
Llama70bV3_Stepwise_FineTuned_FPExamples_Step2	recall	0.13953488372093	Step2	Llama70bV3_FineTuned_FPExamples
Llama70bV3_Stepwise_FineTuned_NoExamples_Step2	recall	0.209302325581395	Step2	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Stepwise_FineTuned_TPExamples_Step2	recall	0.116279069767442	Step2	Llama70bV3_FineTuned_TPExamples
Llama70bV3_Stepwise_Standard_AllExamples_Step2	recall	0.372093023255814	Step2	Llama70bV3_Standard_AllExamples
Llama70bV3_Stepwise_Standard_FPExamples_Step2	recall	0.325581395348837	Step2	Llama70bV3_Standard_FPExamples
Llama70bV3_Stepwise_Standard_NoExamples_Step2	recall	0.302325581395349	Step2	Llama70bV3_Standard_NoExamples
Llama70bV3_Stepwise_Standard_TPExamples_Step2	recall	0.325581395348837	Step2	Llama70bV3_Standard_TPExamples
Llama8bV1_Dynamic_FineTuned_NoExamples_Step2	recall	0	Step2	Llama8bV1_FineTuned_NoExamples
Llama8bV1_Dynamic_Standard_NoExamples_Step2	recall	0.162790697674419	Step2	Llama8bV1_Standard_NoExamples
Llama8bV1_Lookup_FineTuned_NoExamples_Step2	recall	0	Step2	Llama8bV1_FineTuned_NoExamples
Llama8bV1_Lookup_Standard_NoExamples_Step2	recall	0.0232558139534884	Step2	Llama8bV1_Standard_NoExamples
Llama8bV1_Stepwise_FineTuned_AllExamples_Step2	recall	0	Step2	Llama8bV1_FineTuned_AllExamples
Llama8bV1_Stepwise_FineTuned_FPExamples_Step2	recall	0	Step2	Llama8bV1_FineTuned_FPExamples
Llama8bV1_Stepwise_FineTuned_NoExamples_Step2	recall	0	Step2	Llama8bV1_FineTuned_NoExamples
Llama8bV1_Stepwise_FineTuned_TPExamples_Step2	recall	0	Step2	Llama8bV1_FineTuned_TPExamples
Llama8bV1_Stepwise_Standard_AllExamples_Step2	recall	0.0697674418604651	Step2	Llama8bV1_Standard_AllExamples
Llama8bV1_Stepwise_Standard_FPExamples_Step2	recall	0.0697674418604651	Step2	Llama8bV1_Standard_FPExamples
Llama8bV1_Stepwise_Standard_NoExamples_Step2	recall	0	Step2	Llama8bV1_Standard_NoExamples
Llama8bV1_Stepwise_Standard_TPExamples_Step2	recall	0.186046511627907	Step2	Llama8bV1_Standard_TPExamples
Llama70bV3_Dynamic_FineTuned_NoExamples_Step3	recall	0	Step3	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Dynamic_Standard_NoExamples_Step3	recall	0.209302325581395	Step3	Llama70bV3_Standard_NoExamples
Llama70bV3_Lookup_FineTuned_NoExamples_Step3	recall	0	Step3	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Lookup_Standard_NoExamples_Step3	recall	0.0930232558139535	Step3	Llama70bV3_Standard_NoExamples
Llama70bV3_Stepwise_FineTuned_AllExamples_Step3	recall	0.0930232558139535	Step3	Llama70bV3_FineTuned_AllExamples
Llama70bV3_Stepwise_FineTuned_FPExamples_Step3	recall	0.0465116279069767	Step3	Llama70bV3_FineTuned_FPExamples
Llama70bV3_Stepwise_FineTuned_NoExamples_Step3	recall	0	Step3	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Stepwise_FineTuned_TPExamples_Step3	recall	0	Step3	Llama70bV3_FineTuned_TPExamples
Llama70bV3_Stepwise_Standard_AllExamples_Step3	recall	0.232558139534884	Step3	Llama70bV3_Standard_AllExamples
Llama70bV3_Stepwise_Standard_FPExamples_Step3	recall	0.255813953488372	Step3	Llama70bV3_Standard_FPExamples
Llama70bV3_Stepwise_Standard_NoExamples_Step3	recall	0.255813953488372	Step3	Llama70bV3_Standard_NoExamples
Llama70bV3_Stepwise_Standard_TPExamples_Step3	recall	0.232558139534884	Step3	Llama70bV3_Standard_TPExamples
Llama8bV1_Dynamic_FineTuned_NoExamples_Step3	recall	0	Step3	Llama8bV1_FineTuned_NoExamples
Llama8bV1_Dynamic_Standard_NoExamples_Step3	recall	0	Step3	Llama8bV1_Standard_NoExamples
Llama8bV1_Lookup_FineTuned_NoExamples_Step3	recall	0	Step3	Llama8bV1_FineTuned_NoExamples
Llama8bV1_Lookup_Standard_NoExamples_Step3	recall	0	Step3	Llama8bV1_Standard_NoExamples
Llama8bV1_Stepwise_FineTuned_AllExamples_Step3	recall	0	Step3	Llama8bV1_FineTuned_AllExamples
Llama8bV1_Stepwise_FineTuned_FPExamples_Step3	recall	0	Step3	Llama8bV1_FineTuned_FPExamples
Llama8bV1_Stepwise_FineTuned_NoExamples_Step3	recall	0	Step3	Llama8bV1_FineTuned_NoExamples
Llama8bV1_Stepwise_FineTuned_TPExamples_Step3	recall	0	Step3	Llama8bV1_FineTuned_TPExamples
Llama8bV1_Stepwise_Standard_AllExamples_Step3	recall	0	Step3	Llama8bV1_Standard_AllExamples
Llama8bV1_Stepwise_Standard_FPExamples_Step3	recall	0	Step3	Llama8bV1_Standard_FPExamples
Llama8bV1_Stepwise_Standard_NoExamples_Step3	recall	0.0465116279069767	Step3	Llama8bV1_Standard_NoExamples
Llama8bV1_Stepwise_Standard_TPExamples_Step3	recall	0	Step3	Llama8bV1_Standard_TPExamples
Llama70bV3_Dynamic_FineTuned_NoExamples_Step1	f1_score	0.214285714285714	Step1	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Dynamic_Standard_NoExamples_Step1	f1_score	0.666666666666667	Step1	Llama70bV3_Standard_NoExamples
Llama70bV3_Lookup_FineTuned_NoExamples_Step1	f1_score	0.5	Step1	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Lookup_Standard_NoExamples_Step1	f1_score	0.280701754385965	Step1	Llama70bV3_Standard_NoExamples
Llama70bV3_Stepwise_FineTuned_AllExamples_Step1	f1_score	0.363636363636364	Step1	Llama70bV3_FineTuned_AllExamples
Llama70bV3_Stepwise_FineTuned_FPExamples_Step1	f1_score	0.584615384615385	Step1	Llama70bV3_FineTuned_FPExamples
Llama70bV3_Stepwise_FineTuned_NoExamples_Step1	f1_score	0.451612903225806	Step1	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Stepwise_FineTuned_TPExamples_Step1	f1_score	0.426229508196721	Step1	Llama70bV3_FineTuned_TPExamples
Llama70bV3_Stepwise_Standard_AllExamples_Step1	f1_score	0.732394366197183	Step1	Llama70bV3_Standard_AllExamples
Llama70bV3_Stepwise_Standard_FPExamples_Step1	f1_score	0.557377049180328	Step1	Llama70bV3_Standard_FPExamples
Llama70bV3_Stepwise_Standard_NoExamples_Step1	f1_score	0.666666666666667	Step1	Llama70bV3_Standard_NoExamples
Llama70bV3_Stepwise_Standard_TPExamples_Step1	f1_score	0.767123287671233	Step1	Llama70bV3_Standard_TPExamples
Llama8bV1_Dynamic_FineTuned_NoExamples_Step1	f1_score	0	Step1	Llama8bV1_FineTuned_NoExamples
Llama8bV1_Dynamic_Standard_NoExamples_Step1	f1_score	0.524590163934426	Step1	Llama8bV1_Standard_NoExamples
Llama8bV1_Lookup_FineTuned_NoExamples_Step1	f1_score	0.375	Step1	Llama8bV1_FineTuned_NoExamples
Llama8bV1_Lookup_Standard_NoExamples_Step1	f1_score	0.4	Step1	Llama8bV1_Standard_NoExamples
Llama8bV1_Stepwise_FineTuned_AllExamples_Step1	f1_score	0.428571428571429	Step1	Llama8bV1_FineTuned_AllExamples
Llama8bV1_Stepwise_FineTuned_FPExamples_Step1	f1_score	0.456140350877193	Step1	Llama8bV1_FineTuned_FPExamples
Llama8bV1_Stepwise_FineTuned_NoExamples_Step1	f1_score	0.557377049180328	Step1	Llama8bV1_FineTuned_NoExamples
Llama8bV1_Stepwise_FineTuned_TPExamples_Step1	f1_score	0.421052631578947	Step1	Llama8bV1_FineTuned_TPExamples
Llama8bV1_Stepwise_Standard_AllExamples_Step1	f1_score	0.32258064516129	Step1	Llama8bV1_Standard_AllExamples
Llama8bV1_Stepwise_Standard_FPExamples_Step1	f1_score	0.477611940298507	Step1	Llama8bV1_Standard_FPExamples
Llama8bV1_Stepwise_Standard_NoExamples_Step1	f1_score	0.407407407407407	Step1	Llama8bV1_Standard_NoExamples
Llama8bV1_Stepwise_Standard_TPExamples_Step1	f1_score	0.46875	Step1	Llama8bV1_Standard_TPExamples
Llama70bV3_Dynamic_FineTuned_NoExamples_Step2	f1_score	0.150943396226415	Step2	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Dynamic_Standard_NoExamples_Step2	f1_score	0.491228070175439	Step2	Llama70bV3_Standard_NoExamples
Llama70bV3_Lookup_FineTuned_NoExamples_Step2	f1_score	0	Step2	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Lookup_Standard_NoExamples_Step2	f1_score	0.178571428571429	Step2	Llama70bV3_Standard_NoExamples
Llama70bV3_Stepwise_FineTuned_AllExamples_Step2	f1_score	0.363636363636364	Step2	Llama70bV3_FineTuned_AllExamples
Llama70bV3_Stepwise_FineTuned_FPExamples_Step2	f1_score	0.24	Step2	Llama70bV3_FineTuned_FPExamples
Llama70bV3_Stepwise_FineTuned_NoExamples_Step2	f1_score	0.327272727272727	Step2	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Stepwise_FineTuned_TPExamples_Step2	f1_score	0.204081632653061	Step2	Llama70bV3_FineTuned_TPExamples
Llama70bV3_Stepwise_Standard_AllExamples_Step2	f1_score	0.524590163934426	Step2	Llama70bV3_Standard_AllExamples
Llama70bV3_Stepwise_Standard_FPExamples_Step2	f1_score	0.491228070175439	Step2	Llama70bV3_Standard_FPExamples
Llama70bV3_Stepwise_Standard_NoExamples_Step2	f1_score	0.464285714285714	Step2	Llama70bV3_Standard_NoExamples
Llama70bV3_Stepwise_Standard_TPExamples_Step2	f1_score	0.482758620689655	Step2	Llama70bV3_Standard_TPExamples
Llama8bV1_Dynamic_FineTuned_NoExamples_Step2	f1_score	0	Step2	Llama8bV1_FineTuned_NoExamples
Llama8bV1_Dynamic_Standard_NoExamples_Step2	f1_score	0.274509803921569	Step2	Llama8bV1_Standard_NoExamples
Llama8bV1_Lookup_FineTuned_NoExamples_Step2	f1_score	0	Step2	Llama8bV1_FineTuned_NoExamples
Llama8bV1_Lookup_Standard_NoExamples_Step2	f1_score	0.0444444444444444	Step2	Llama8bV1_Standard_NoExamples
Llama8bV1_Stepwise_FineTuned_AllExamples_Step2	f1_score	0	Step2	Llama8bV1_FineTuned_AllExamples
Llama8bV1_Stepwise_FineTuned_FPExamples_Step2	f1_score	0	Step2	Llama8bV1_FineTuned_FPExamples
Llama8bV1_Stepwise_FineTuned_NoExamples_Step2	f1_score	0	Step2	Llama8bV1_FineTuned_NoExamples
Llama8bV1_Stepwise_FineTuned_TPExamples_Step2	f1_score	0	Step2	Llama8bV1_FineTuned_TPExamples
Llama8bV1_Stepwise_Standard_AllExamples_Step2	f1_score	0.111111111111111	Step2	Llama8bV1_Standard_AllExamples
Llama8bV1_Stepwise_Standard_FPExamples_Step2	f1_score	0.12	Step2	Llama8bV1_Standard_FPExamples
Llama8bV1_Stepwise_Standard_NoExamples_Step2	f1_score	0	Step2	Llama8bV1_Standard_NoExamples
Llama8bV1_Stepwise_Standard_TPExamples_Step2	f1_score	0.290909090909091	Step2	Llama8bV1_Standard_TPExamples
Llama70bV3_Dynamic_FineTuned_NoExamples_Step3	f1_score	0	Step3	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Dynamic_Standard_NoExamples_Step3	f1_score	0.346153846153846	Step3	Llama70bV3_Standard_NoExamples
Llama70bV3_Lookup_FineTuned_NoExamples_Step3	f1_score	0	Step3	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Lookup_Standard_NoExamples_Step3	f1_score	0.153846153846154	Step3	Llama70bV3_Standard_NoExamples
Llama70bV3_Stepwise_FineTuned_AllExamples_Step3	f1_score	0.170212765957447	Step3	Llama70bV3_FineTuned_AllExamples
Llama70bV3_Stepwise_FineTuned_FPExamples_Step3	f1_score	0.0869565217391304	Step3	Llama70bV3_FineTuned_FPExamples
Llama70bV3_Stepwise_FineTuned_NoExamples_Step3	f1_score	0	Step3	Llama70bV3_FineTuned_NoExamples
Llama70bV3_Stepwise_FineTuned_TPExamples_Step3	f1_score	0	Step3	Llama70bV3_FineTuned_TPExamples
Llama70bV3_Stepwise_Standard_AllExamples_Step3	f1_score	0.363636363636364	Step3	Llama70bV3_Standard_AllExamples
Llama70bV3_Stepwise_Standard_FPExamples_Step3	f1_score	0.407407407407407	Step3	Llama70bV3_Standard_FPExamples
Llama70bV3_Stepwise_Standard_NoExamples_Step3	f1_score	0.407407407407407	Step3	Llama70bV3_Standard_NoExamples
Llama70bV3_Stepwise_Standard_TPExamples_Step3	f1_score	0.37037037037037	Step3	Llama70bV3_Standard_TPExamples
Llama8bV1_Dynamic_FineTuned_NoExamples_Step3	f1_score	0	Step3	Llama8bV1_FineTuned_NoExamples
Llama8bV1_Dynamic_Standard_NoExamples_Step3	f1_score	0	Step3	Llama8bV1_Standard_NoExamples
Llama8bV1_Lookup_FineTuned_NoExamples_Step3	f1_score	0	Step3	Llama8bV1_FineTuned_NoExamples
Llama8bV1_Lookup_Standard_NoExamples_Step3	f1_score	0	Step3	Llama8bV1_Standard_NoExamples
Llama8bV1_Stepwise_FineTuned_AllExamples_Step3	f1_score	0	Step3	Llama8bV1_FineTuned_AllExamples
Llama8bV1_Stepwise_FineTuned_FPExamples_Step3	f1_score	0	Step3	Llama8bV1_FineTuned_FPExamples
Llama8bV1_Stepwise_FineTuned_NoExamples_Step3	f1_score	0	Step3	Llama8bV1_FineTuned_NoExamples
Llama8bV1_Stepwise_FineTuned_TPExamples_Step3	f1_score	0	Step3	Llama8bV1_FineTuned_TPExamples
Llama8bV1_Stepwise_Standard_AllExamples_Step3	f1_score	0	Step3	Llama8bV1_Standard_AllExamples
Llama8bV1_Stepwise_Standard_FPExamples_Step3	f1_score	0	Step3	Llama8bV1_Standard_FPExamples
Llama8bV1_Stepwise_Standard_NoExamples_Step3	f1_score	0.0851063829787234	Step3	Llama8bV1_Standard_NoExamples
Llama8bV1_Stepwise_Standard_TPExamples_Step3	f1_score	0	Step3	Llama8bV1_Standard_TPExamples
