reference	ppi_relations	set
15145825	Suv39h=H3; Suv4-20h2=H4; Suv4-20h1=H4; Suv4-20h=HP1; Suv4-20h=H3; Suv4-20h=H4; HMTases=H3; HMTases=H4	Test
15223	Proton pump=cytochrome c oxidase	Test
15257288	MMP-1=type I collagen	Test
15345777	PAD4=histone; peptidylarginine deiminase 4=histone; CARM1=H3; PRMT1=H4; PAD4=H3; PAD4=H4; PAD4=histones; PAD4=histone	Test
15358149	Kv4.2=KChIP; KChIP1=KChIP2.1; KChIP1=KChIP2.2; KChIP2.1=KChIP2.2; Kv4.2=KChIPs; Kv4.2=KChIPs	Test
15449939	IFNAR1=IFN; IFNAR1=IFN-alpha; IFNAR1=IFN-alpha; IFN-alpha=IFNAR1; IFNAR1=IFNAR2; IFNAR2=IFN-alpha; IFN=IFNAR1; IFN=IFNAR2; IFNAR2=IFNAR1	Test
15485920	Rb=Raf-1; Raf-1=Rb; Rb=Raf-1; Raf-1=Rb; protein Brg1=Rb; Rb=Raf-1; Raf-1=Rb	Test
15492226	TRAF6=transforming growth factor beta-activated kinase; TRAF6=IkappaB kinase; TIFA=TRAF6; Ubc13=Uev1A	Test
15574420	SHP2=Gab1; SHP2=Gab1; Gab1=RasGAP; Ras-GAP=Gab1; Gab1=RasGAP; RasGAP=Gab1	Test
15592428	Pc2=CtBP; Pc2=CtBP; Pc2=CtBP; Pc2=CtBP2; Ubc9=Pc2; Pc2=CtBP	Test
15620353	LSD1=Histone; LSD1=histone; LSD1=histone H3; LSD1=histone	Test
15660128	E1=E2; Sae1=Sae2; Sae1=Sae2; SUMO-1=Sae2; SUMO-1=Sae1; Sae1=Sae2; Sae2=SUMO-1; SUMO-1=Sae1; E2=E1; E2=E1	Test
1577494	Lysyl hydroxylase=collagens	Test
15808505	PHLPP=Akt; PH domain leucine-rich repeat protein phosphatase=Akt; PH domain leucine-rich repeat protein phosphatase=Akt1; PHLPP=Akt; PHLPP=Akt	Test
15843474	Smad4=Cited1	Test
15865448	all-trans-retinol=CRBPI; CRBPI=all-trans-retinaldehyde; CRALBP=11-cis-retinal	Test
15889145	Cdc28=Cdk1; Cdc28=Smp2; Cdk1=Smp2; Nem1=Spo7; Nem1=Smp2; Spo7=Smp2; Nem1=Spo7	Test
15930137	malin=laforin; malin=laforin; malin=laforin; malin=laforin; malin=laforin	Test
15976810	PIASxalpha=DJ-1; PIASy=DJ-1	Test
16024914	HDL=tocopherol; TTP=ABC-type transporter	Test
16055508	AurB=Incenp	Test
16177062	3BP2=CD244; 3BP2=CD244; CD244=signaling lymphocytic activation molecule-associated protein; 3BP2=CD244; CD244=3BP2; CD244=3BP2; CD244=SAP; 3BP2=SAP; CD244=3BP2; 3BP2=SAP	Test
16209941	Cul1=Skp1; Cul1=Rbx1; Rbx1=Skp2; Skp1=Rbx1; Skp1=Skp2; Cul1=Skp2; Skp1=Skp2; Skp2=Cks1; Skp1=Cks1; Cks1=Skp2; p27=Cks1; p27=Skp2; p27=Cks1; Cks1=Skp2; p27=Skp2; p27=Cks1; Cdk2=cyclin A; Cks1=SCF; p27=SCF; p27=Cks1; p27=Cks1; p27=Skp2; p27=Skp1; SCF=p27; SCF=p27	Test
16282325	cIAP1=tumor necrosis factor receptor-associated factor 2; cIAP1=second mitochondrial activator of caspases; cIAP1=tumor necrosis factor receptor-associated factor 2; cIAP1=second mitochondrial activator of caspases; cIAP1=TRAF2; cIAP1=SMAC; cIAP1=TRAF2; cIAP1=SMAC; cIAP1=TRAF2; cIAP1=SMAC; cIAP1=TRAF2; cIAP1=SMAC; cIAP1=TRAF2; cIAP1=SMAC; cIAP1=TRAF2; cIAP1=TRAF2	Test
1634508	GDP=rho p21; rho p21=rho GDI; rho p21=smg GDS; GDP=rho p21; GDP=rho p21; rho GDI=rho p21; rhoA p21=GDP; GTP=rhoA p21; C3=rho p21; EDIN=rho p21	Test
16387653	ING=p53; ING3=Tip60; ING1=mSin3A; ING4=HBO1; ING2=HDAC; ING1=HDAC; ING4=histone H4; HBO1=histone H4; MOZ=MORF; MOZ=H3; MORF=H3; ING5=HBO1; ING5=MOZ; ING5=MORF; ING5=MCM; MOZ=MORF	Test
16413484	APC=UbcH10; cyclin A=APC; cyclin A=Cdh1	Test
16431907	EZH2=histone H3; H1=EZH2; EZH2=H3; EZH2=histone H1; histone methyltransferase=histone H1	Test
16556841	TCT=PGRP-LCa; TCT=PGRP-LCx; LCa=LCx; TCT=LCx; LCa=TCT; peptidoglycan=PGRPs; TCT=PGRP	Test
16630891	Shoc2=protein phosphatase 1; Shoc2=PP1c; PP1c=Raf; Shoc2=Raf; Raf=M-Ras; Raf=Ras; M-Ras=Shoc2; Shoc2=PP1c	Test
16717095	CK2=phosducin-like protein; Phosducin-like protein=G protein betagamma; CK2=PhLP; PhLP=Gbeta; Gbeta=CCT; PhLP=CCT; PhLP=Gbeta; CCT=Gbeta; CCT=PhLP; Ggamma=Gbeta; Gbetagamma=PhLP	Test
16728531	sodium butyrate=HDAC; Histone deacetylase 1=histone	Test
16738327	pVHL=HIF-1 alpha	Test
16864653	Asp-His-His-Cys motif (DHHC) palmitoyl transferase=eNOS; 2=eNOS; 3=eNOS; 7=eNOS; 8=eNOS; 21=eNOS; 2=eNOS; 3=eNOS; 7=eNOS; 8=eNOS; 21=eNOS; DHHC-21=eNOS	Test
16908542	PGC-1alpha=nuclear respiratory factor 1; PGC-1-related coactivator=nuclear respiratory factor 1; PGC-1-related coactivator=CREB; PGC-1-related coactivator=NRF-1; NRF-1=PRC; CREB=PRC; NRF-1=PRC; CREB=PRC; NRF-1=PRC; CREB=PRC; CREB=PRC; NRF-1=PRC	Test
16912044	RXRalpha=SUMO-1; retinoic acid receptor-alpha=RXRalpha; RXRalpha=peroxisome proliferator-activated receptor-gamma; RXRalpha=SUMO-1; SUMO-1=androgen receptor; SUMO-1=PPARgamma; SUMO-1=RXRalpha	Test
16924681	N-acetylglucosaminyltransferase V=integrin beta1; delta cGnT-V=Integrin beta1; wtGnT-V=Integrin beta1; GnT-V=integrin beta1	Test
17015689	Cullin1=IRF-3; IkappaB kinase-related kinases=IRF-3; Cullin-based ubiquitin ligase=IRF-3	Test
17018294	Pc2=HIPK2; Pc2=homeodomain interacting protein kinase 2; Pc2=homeodomain interacting protein kinase 2; HIPK2=Pc2; Pc2=HIPK2; Pc2=HIPK2	Test
17108083	SHPRH=proliferating cell nuclear antigen; Mms2=proliferating cell nuclear antigen; Ubc13=proliferating cell nuclear antigen; Mms2=Ubc13; Mms2=Ubc13; Mms2=Ubc13; Mms2=Ubc13; Rad6=Rad18; Mms2=Ubc13; Mms2=proliferating cell nuclear antigen; Ubc13=proliferating cell nuclear antigen; SHPRH=Rad6; SHPRH=Rad18; SHPRH=Mms2; SHPRH=Ubc13; Rad5=Rad6; Rad5=Rad18; Rad5=Mms2; Rad5=Ubc13; Mms2=proliferating cell nuclear antigen; Ubc13=proliferating cell nuclear antigen	Test
17115028	Itch=Gli1; Itch=Gli1	Test
17132228	elongins B=C; elongins B=Rbx1; elongins B=Cul2; C=Rbx1; C=Cul2; Rbx1=Cul2; ECV=alpha subunit of hypoxia-inducible factor; ECV=HIFalpha; VHL=HIFalpha; Rbx1=Cul2; UbcH5a=Cul2; ECV=HIFalpha	Test
17194709	ABLIM-2=STARS; -3=STARS; ABLIM-2=F-actin; -3=F-actin; STARS=actin; STARS=actin; STARS=-3; STARS=ABLIM-2; ABLIM=F-actin; STARS=ABLIM-2; STARS=-3	Test
17218260	NEDD4-1=PTEN; NEDD4-1=PTEN; NEDD4-1=PTEN; NEDD4-1=PTEN; NEDD4-1=PTEN; Mdm2=p53	Test
17255109	PP2A=Sprouty2; Spry2=PP2A-C; Spry2=PP2A-A; FGF receptor=FGFR; PP2A-A=Spry2; PP2A=Sprouty2; PP2A-A=Spry2; c-Cbl=Spry2; Spry2=PP2A; Spry2=c-Cbl; c-Cbl=Spry2; Grb2=Spry2; c-Cbl=Spry2	Test
17363573	Inhibitor of growth 4=liprin alpha1; PPFIA1=ING4; ING4=liprin alpha1	Test
17435760	NLRs=SGT1; NLRs=heat-shock protein 90	Test
17449811	CBL10=SOS2; SCABP8=SOS2	Test
17463226	Aip4=ErbB-4; AIP4=ErbB-4; AIP4=ErbB-4; ErbB-4=AIP4; AIP4=ErbB-4; AIP4=ErbB-4	Test
17532339	Pyruvate dehydrogenase phosphatase 1=pyruvate dehydrogenase; PDHKs=pyruvate dehydrogenase complex; PDP1c=dihydrolipoyl acetyltransferase; PDP1c=PDC; PDHK=lipoic acid; PDP1c=Ca2+	Test
17572495	Fra-1=Stat3; c-Jun=Stat3; Fra-1=c-Jun; Fra-1=Stat3; Stat3=c-Jun; c-Jun=Fra-1; c-Jun=Fra-1; Fra-1=Stat3; c-Jun=Stat3	Test
17580310	MDM2=p53	Test
17615152	ERK1=estrogen receptor (ER)-alpha; 2=estrogen receptor (ER)-alpha; MAPK=ERalpha; ERK=ERalpha; ERK=ERalpha; U0126=ERK	Test
17662961	sigma-1 receptor=[(11)C]SA4503; [(11)C]SA4503=sigma-1 receptors; Fluvoxamine=sigma-1 receptors; fluvoxamine=sigma-1 receptors	Test
17707229	MLL=histone H3; MLL=H3K4; MLL2=NF-E2; MLL2=H3K4; NF-E2=H3K4; NF-E2=MLL2; MLL2=ASH2L; MLL2=H3K4	Test
17707230	CSB=RNA polymerase I; RNA polymerase I=G9a; CSB=G9a; G9a=histone H3; H3K9me2=heterochromatin protein 1gamma; H3K9=HP1gamma; G9a=Pol I; G9a=H3K9	Test
17766642	ketanserin=VMAT2; tetrabenazine=VMAT2; VMAT2=[125I]IAmF; iodoaminoflisopolol=VMAT2	Test
17848578	BARD1=BRCA1; BRCA1=BARD1	Test
17851529	EZH2=H3K27; UTX=H3K27me3; UTX=2; JMJD3=H3K27me3; JMJD3=2; UTX=H3K27me3	Test
17932071_40	Trm6p=Trm61p; Trm61p=Trm6p; Trm6p=Trm61p	Test
17940067	Tousled-like kinase=Aurora kinase; Aurora kinase=TLK1; Aurora kinase=TLK2; TLK2=histone H3; TLK1=histone H3; TLK2=Asf1A; TLK1=Asf1B; TLK1=AUK1; TLK1=Asf1A; TLK1=Asf1B	Test
17947579	JMJD6=histone; Jumonji domain-containing 6 protein=histone H3; Jumonji domain-containing 6 protein=histone H4; Jumonji domain-containing 6 protein=H3R2; Jumonji domain-containing 6 protein=H4R3	Test
17948059	Bur1=Bur2; Bur1=Bur2; Bur1=Bur2; Bur2=Bur1; Bur1=Bur2	Test
17980597	deubiquitinating enzymes=uH2A; deubiquitinating enzymes=uH2B; ubiquitin-specific protease 3=uH2A; ubiquitin-specific protease 3=uH2B; USP3=H2A; USP3=H2B; uH2A=USP3; USP3=uH2A; USP3=H2A; USP3=H2B	Test
18065497	Siah-1=alpha-synuclein; Siah-1=UbcH8; alpha-synuclein=seven in absentia homologue-1; Siah-1=alpha-synuclein; Siah-1=alpha-synuclein; Siah-1=alpha-synuclein; Siah-1=alpha-synuclein	Test
18070875	protein targeting to glycogen=glycogen; protein targeting to glycogen=protein phosphatase 1; protein targeting to glycogen=glycogen synthase; protein targeting to glycogen=phosphorylase; protein targeting to glycogen=laforin; malin=PTG	Test
18165438	sirtuins=nuclear receptors	Test
18180368_19	kinesin-II=OSM-3	Test
18187655	LSD1=H3	Test
18317453	Chk2=hBRCA2; Chk1=hBRCA2; Chk1=hBRCA2; Chk2=hBRCA2; Rad51=hBRCA2; Chk1=Rad51; Chk1=hBRCA2; Chk2=hBRCA2; hBRCA2=Rad51	Test
18331838	TTLL10=nucleosome assembly protein 1; TTLL10=NAP1; TTLL10=NAP1	Test
18384749	Cdc25 dual-specificity phosphatases=Cdk1; Cdc25 dual-specificity phosphatases=cyclin B1; Cdc25C=14-3-3; Plk1=Cdc25C	Test
18391200	p53=Taz2; p53=Taz2	Test
18430226_16	PER2=CLOCK	Test
18624796	InlB=hepatocyte growth factor (HGF) receptor; internalin (Inl)A=E-cadherin; Src=E-cadherin; Hakai=E-cadherin; E-cadherin=clathrin; caveolin=E-cadherin; clathrin=E-cadherin	Test
18628300	barrier-to-autointegration factor=lamin A; barrier-to-autointegration factor=emerin; emerin=lamin A	Test
18628979_46	PRC2=VAV1	Test
18682561	glutathione=MPGES1	Test
18724389	WWP1=RING finger protein 11; WWP1=RNF11; WWP1=RNF11	Test
18794358	MOZ=MORF; MOZ=histone; MORF=histone; MOZ=MORF; MORF=ING5; ING5=EAF6; MOZ=ING5; MOZ=EAF6; MORF=EAF6; MOZ=BRPF1; MOZ=-2; MOZ=-3; MORF=BRPF1; MORF=-2; MORF=-3; MOZ=MORF; ING5=EAF6; BRPF=MOZ; BRPF=MORF; BRPF=ING5; BRPF=EAF6; BRPF1=ING5; BRPF1=EAF6; BRPF1=enhancer of polycomb; enhancer of polycomb=ING5; enhancer of polycomb=EAF6; BRPF1=EAF6; BRPF1=ING5; ING5=EAF6; MOZ=MORF; MOZ=BRPF1; MORF=BRPF1; BRPF1=ING5; BRPF1=histone H3; BRPF1=histones H3; BRPF1=H4; ING5=histone H3; ING5=histones H3; ING5=H4; MOZ=MORF	Test
18832723	PIAS1=PPARgamma	Test
18835386	RhoBTB2=RhoBTB3	Test
19011621	protein arginine methyltransferase (PRMT) 5=p53; protein arginine methyltransferase (PRMT) 5=p53	Test
19047365	WWP1=HER4; WWP1=HER4; HER4=WWP1; WWP1=HER4; WWP1=HER4; WWP1=HER4; anaphase-promoting complex=HER4	Test
19081070_9	Gli3R=beta-catenin	Test
19115252_81	Exd=hth; Pbx=Meis1	Test
19188362	USP17=RCE1	Test
19228687	MSH2=MSH6; MSH3=MSH2	Test
19229036	SIRT1=heat shock factor 1; HSF1=Hsp70; SIRT1=HSF1	Test
19276361	Chk1=Cul4; damaged DNA-binding protein 1=Chk1; DDB1=Cul4A; DDB1=Cul4B; Cul4A=Cul4B; Chk1=Cul4A; Chk1=DDB1	Test
19330005_4	p45PFK=BMAL1; CK2alpha=BMAL1; CK2alpha=BMAL1; CK2alpha=BMAL1; p45PFK=CLOCK	Test
1939122	formyl(f)Met-tRNA=ribosomes; fMet-tRNA=ribosomes; fMet-tRNA=ribosomes	Test
19415799_9	MinCC=FtsZ; MinD=FtsZ; FtsZ=MinCC; FtsZ=MinD; MinD=FtsZ; MinCC=FtsZ	Test
19453968	SOCS3=granulocyte colony-stimulating factor receptor	Test
19465916	Ubc13=TRAF6; TRAF6=Ubc13; Tumor necrosis factor (TNF) receptor-associated factor (TRAF)-6=NF-kappaB	Test
19503082	4.1N=GluR1; Protein kinase C=GluR1; PKC=GluR1	Test
19619245	sphingosine 1-phosphate=S1P(1); sphingosine 1-phosphate=S1P(5); S1P=S1P(1); S1P=S1P(1); FTY720 phosphate=S1P(1); FTY720 phosphate=S1P(1); S1P=S1P(1); S1P=S1P(1)	Test
19637179_9	sulindac=Dvl; sulindac sulfone=Dvl; Fz=Wnt; sulindac=Dvl	Test
19644473_20	mTOR=Raptor; mTOR=PRAS40; mTOR=mLST8; Raptor=PRAS40; Raptor=mLST8; PRAS40=mLST8; mTOR=Rictor; mTOR=mSIN1; mTOR=mLST8; Rictor=mSIN1; Rictor=mLST8; mSIN1=mLST8	Test
19706605	GSK-3=delta-catenin; Delta-catenin=presenilin-1; -3beta=delta-catenin; -3beta=delta-catenin; GSK-3alpha=delta-catenin; GSK-3alpha=delta-catenin; GSK-3=delta-catenin; GSK-3=delta-catenin; GSK-3=delta-catenin; GSK-3=delta-catenin; GSK-3=delta-catenin; GSK-3=delta-catenin	Test
19881509	MAVS=RIG-I-like helicases; PCBP2=MAVS; AIP4=MAVS; PCBP2=MAVS; PCBP2=AIP4; PCBP2=AIP4	Test
19896182_32	Mcm2=7; Cdt1=Mcm2; Mcm2=7; Cdt1=7; Mcm2=7; Mcm2=7; Cdt1=Mcm2; Cdt1=7; Cdt1=Orc6; Mcm2=7; Cdt1=ORC; Cdt1=Mcm2; Cdt1=7	Test
20005846	HOIL-1=HOIP; HOIL-1=NEMO; HOIP=NEMO; linear ubiquitin chain assembly complex=NEMO; LUBAC=ubiquitin; NEMO=TNF-RSC	Test
20016594	PIAS=BRCA1; BRCA1=BARD1	Test
20023408_12	UPF1=SMG7; UPF1=SMG6; UPF1=SMG5	Test
2002555	gp41=gp120; gp41=gp120; gp120=gp41	Test
20129058	DnaB=DnaC; primase=DnaB; primase=DnaB; DnaC=DnaB; DnaC=DnaB; DnaC=DnaB; DnaB=DnaC	Test
20130140	Sp100=PML; Sp100=PML; PML=Sp100; heterochromatin protein 1=PML; heterochromatin protein 1=Sp100	Test
20338813_24	alpha chain=GM-CSF; GM-CSF=GM-CSF receptor alpha	Test
20406818	TRIM25=RIG-I; RIG-I=MAVS; RIG-I=TRIM25; RIG-I=MAVS; RIG-I=TRIM25	Test
20457893	JmjC=histone; JMJD5=H3K36me2; KDM8=cyclin A1; KDM8=H3K36me2	Test
20501646	USP26=AR; USP26=AR; USP26=AR; USP26=AR	Test
