"Type","Model","Step","Metric","Score","lower","upper","cv"
"Llama8b_DynExamples","Llama8b","DynExamples","recall",0.119170984455959,0.0822028688524591,0.154219922200611,0.143244384467334
"Llama8b_StringLookup","Llama8b","StringLookup","recall",0.207253886010363,0.165299479166667,0.251170234385585,0.11484192199116
"Llama8b_NegExamples","Llama8b","NegExamples","recall",0.0569948186528497,0.0353424015009381,0.0778770442156269,0.209110806385525
"Llama8b_PosExamples","Llama8b","PosExamples","recall",0.518134715025907,0.456732723577236,0.57695274831244,0.0587295978255568
"Llama8b_TotN3","Llama8b","TotN3","recall",0.0259067357512953,0.0155614098837209,0.0408253365320538,0.300557938685748
"Llama8b_EnsemblN5","Llama8b","EnsemblN5","recall",0.0259067357512953,0.00840336134453781,0.0420374293785311,0.343496001615106
"Llama70b_Vanilla","Llama70b","Vanilla","f1_score",0.593908629441624,0.549894963454227,0.635658914728682,0.0419520531634754
"Llama70b_AllExamples","Llama70b","AllExamples","f1_score",0.603260869565217,0.554743451093487,0.644347232563912,0.037610681768409
"Llama70b_DynExamples","Llama70b","DynExamples","f1_score",0.585253456221198,0.542915824915825,0.618181818181818,0.0349171866992426
"Llama70b_StringLookup","Llama70b","StringLookup","f1_score",0.571428571428571,0.527321559686208,0.614879032258065,0.0434003357874907
"Llama70b_NegExamples","Llama70b","NegExamples","f1_score",0.578796561604584,0.529527541424093,0.62700382051382,0.0424980525456001
"Llama70b_PosExamples","Llama70b","PosExamples","f1_score",0.595854922279793,0.543034867503487,0.632621819416996,0.044208892497956
"Llama70b_TotN3","Llama70b","TotN3","f1_score",0.552058111380145,0.51248032197701,0.596347402597402,0.0420498810146738
"Llama70b_EnsemblN5","Llama70b","EnsemblN5","f1_score",0.561904761904762,0.522915736429164,0.60812088917462,0.0410153836522389
"Llama8b_Vanilla","Llama8b","Vanilla","f1_score",0.395904436860068,0.349259753462956,0.4375,0.0631462035357909
"Llama8b_AllExamples","Llama8b","AllExamples","f1_score",0.113744075829384,0.0682204861111112,0.149317738791423,0.20354588528058
"Llama8b_DynExamples","Llama8b","DynExamples","f1_score",0.189300411522634,0.133503270922626,0.238993710691824,0.129359997050526
"Llama8b_StringLookup","Llama8b","StringLookup","f1_score",0.293040293040293,0.243445019491867,0.344700718276137,0.10113210984847
"Llama8b_NegExamples","Llama8b","NegExamples","f1_score",0.102803738317757,0.065268886043534,0.138229376257545,0.199588340676328
"Llama8b_PosExamples","Llama8b","PosExamples","f1_score",0.512820512820513,0.458857325247367,0.565051020408163,0.0537949197965254
"Llama8b_TotN3","Llama8b","TotN3","f1_score",0.0487804878048781,0.0296296296296296,0.0760756419153366,0.275000534071595
"Llama8b_EnsemblN5","Llama8b","EnsemblN5","f1_score",0.0487804878048781,0.0161290322580645,0.0778373304263566,0.335917463383144
