"Type","Model","Step","Metric","Score","lower","upper","cv"
"Llama8b_Vanilla","Llama8b","Vanilla","recall",0.139896373056995,0.0975,0.176484615384615,0.147274403452397
"Llama8b_AllExamples","Llama8b","AllExamples","recall",0.0725388601036269,0.0491621239652736,0.0920032051282051,0.165497120580761
"Llama8b_DynExamples","Llama8b","DynExamples","recall",0.243523316062176,0.2,0.289372822299651,0.10069285133059
"Llama8b_StringLookup","Llama8b","StringLookup","recall",0.181347150259067,0.142736283185841,0.22359173553719,0.125740304326375
"Llama8b_NegExamples","Llama8b","NegExamples","recall",0.139896373056995,0.101507936507937,0.165301724137931,0.126332535329373
"Llama8b_PosExamples","Llama8b","PosExamples","recall",0.50259067357513,0.468939393939394,0.547265625,0.0431597249731094
"Llama8b_TotN3","Llama8b","TotN3","recall",0.150259067357513,0.117132352941176,0.184558823529412,0.121852136149704
"Llama8b_EnsemblN5","Llama8b","EnsemblN5","recall",0.119170984455959,0.0860135271552595,0.15030213706706,0.149617490074173
"Llama70b_Vanilla","Llama70b","Vanilla","f1_score",0.552845528455285,0.505380948763721,0.593089859437751,0.0441744795848511
"Llama70b_AllExamples","Llama70b","AllExamples","f1_score",0.544910179640719,0.494990068417568,0.581586183769282,0.0408153632148048
"Llama70b_DynExamples","Llama70b","DynExamples","f1_score",0.355871886120996,0.309607693772615,0.408100558659218,0.0843390550948792
"Llama70b_StringLookup","Llama70b","StringLookup","f1_score",0.201612903225806,0.149101531193318,0.253889528193326,0.137038666539192
"Llama70b_NegExamples","Llama70b","NegExamples","f1_score",0.557275541795666,0.507537783853573,0.614067914067914,0.0448673299950869
"Llama70b_PosExamples","Llama70b","PosExamples","f1_score",0.553524804177546,0.497834398485672,0.592885375494071,0.0464727455135016
"Llama70b_TotN3","Llama70b","TotN3","f1_score",0.546448087431694,0.49881221719457,0.586964539007092,0.044823541790983
"Llama70b_EnsemblN5","Llama70b","EnsemblN5","f1_score",0.556756756756757,0.517857142857143,0.603804290487076,0.0463990351762262
"Llama8b_Vanilla","Llama8b","Vanilla","f1_score",0.213438735177866,0.153295222539812,0.266300578034682,0.135099136926071
"Llama8b_AllExamples","Llama8b","AllExamples","f1_score",0.129032258064516,0.0885114503816794,0.16206562266965,0.156101218610544
"Llama8b_DynExamples","Llama8b","DynExamples","f1_score",0.320819112627986,0.268006037952846,0.370478723404255,0.0886056977749848
"Llama8b_StringLookup","Llama8b","StringLookup","f1_score",0.282258064516129,0.224779266417747,0.336389870860688,0.10854337135945
"Llama8b_NegExamples","Llama8b","NegExamples","f1_score",0.218623481781376,0.164963790245179,0.252507961783439,0.114570559043838
"Llama8b_PosExamples","Llama8b","PosExamples","f1_score",0.543417366946779,0.504627883048958,0.582989130434783,0.0405056666719782
"Llama8b_TotN3","Llama8b","TotN3","f1_score",0.229249011857707,0.178749560941342,0.272338505954529,0.109170071293091
"Llama8b_EnsemblN5","Llama8b","EnsemblN5","f1_score",0.190871369294606,0.142693661971831,0.237665562913907,0.133561402037687
