"Type","Model","Step","Metric","Score","lower","upper","cv"
"Llama8b_StringLookup","Llama8b","StringLookup","recall",0.469479353680431,0.449076987225655,0.49278381177103,0.0237890634348593
"Llama8b_NegExamples","Llama8b","NegExamples","recall",0.0368043087971275,0.0284650455927052,0.0459044125129953,0.124464456770404
"Llama8b_PosExamples","Llama8b","PosExamples","recall",0.28096947935368,0.257712221481623,0.297678111587983,0.0396330814841767
"Llama8b_TotN3","Llama8b","TotN3","recall",0.53770197486535,0.517085549256813,0.556515273706791,0.0210658899270335
"Llama8b_EnsemblN5","Llama8b","EnsemblN5","recall",0.52064631956912,0.494761516748799,0.545849403614028,0.0233600286956123
"Llama70b_Vanilla","Llama70b","Vanilla","f1_score",0.675171736997056,0.660976054553607,0.690238587369397,0.0118514042324705
"Llama70b_AllExamples","Llama70b","AllExamples","f1_score",0.697885196374622,0.678986820577255,0.714475762797994,0.0135719352726355
"Llama70b_DynExamples","Llama70b","DynExamples","f1_score",0.520870076425632,0.501108776844071,0.542260033313066,0.0205645462016814
"Llama70b_StringLookup","Llama70b","StringLookup","f1_score",0.628662759722962,0.612139249328836,0.64730905599665,0.0156721615658567
"Llama70b_NegExamples","Llama70b","NegExamples","f1_score",0.695159629248198,0.677994016615462,0.711534683855126,0.0123143752544204
"Llama70b_PosExamples","Llama70b","PosExamples","f1_score",0.716870415647922,0.694614248338195,0.732268236283372,0.0129692204907167
"Llama70b_TotN3","Llama70b","TotN3","f1_score",0.67027027027027,0.65258,0.684801243491157,0.0142472790319463
"Llama70b_EnsemblN5","Llama70b","EnsemblN5","f1_score",0.672878862187347,0.654420620619895,0.690215008233357,0.0142870359905974
"Llama8b_Vanilla","Llama8b","Vanilla","f1_score",0.607438016528926,0.57952765016213,0.628603457538662,0.0185027024766442
"Llama8b_AllExamples","Llama8b","AllExamples","f1_score",0.615678776290631,0.598113738738739,0.63457623421633,0.0157779231334722
"Llama8b_DynExamples","Llama8b","DynExamples","f1_score",0.333767926988266,0.30653830129159,0.355747214329027,0.0409374559057841
"Llama8b_StringLookup","Llama8b","StringLookup","f1_score",0.516543209876543,0.493872115507124,0.536701013973524,0.020210901153032
"Llama8b_NegExamples","Llama8b","NegExamples","f1_score",0.0699658703071672,0.0543408431359518,0.0864939251177783,0.120572045906658
"Llama8b_PosExamples","Llama8b","PosExamples","f1_score",0.409954158480681,0.383016403462077,0.4294745194851,0.0330884461263862
"Llama8b_TotN3","Llama8b","TotN3","f1_score",0.615305598356446,0.596471282470606,0.634732743015922,0.0162029261629115
"Llama8b_EnsemblN5","Llama8b","EnsemblN5","f1_score",0.606694560669456,0.587850338857043,0.627059935662283,0.0171716090812721
